Date,Campaign_ID,Campaign_Name,Ad_Set_Name,Platform,Objective,Target_Audience,Location,Age_Group,Gender,Device,Ad_Format,Impressions,Reach,Clicks,CTR_Percent,CPC_INR,Spend_INR,Leads,Add_to_Cart,Purchases,Conversion_Rate_Percent,Revenue_INR,ROAS,Bounce_Rate_Percent,Avg_Session_Duration_Sec,Landing_Page,UTM_Campaign
2025-04-09,CMP-7602,Luxury Nature Escape,Customer-focused analyzing matrix,Facebook,Engagement,Business Owners,Mysuru,45-54,Male,Desktop,Carousel,94695,59091,1967,2.08,77.97,153366.99,347,66,13,0.66,1105000,7.2,72.49,556,/executive-detox-guide,luxury_nature_escape
2025-02-04,CMP-1164,Weekend Mental Reset,Upgradable eco-centric collaboration,Instagram,Website Visits,Working Professionals,Coimbatore,18-24,Female,Desktop,Story Ad,169953,101776,3054,1.8,27.73,84687.42,90,44,25,0.82,2125000,25.09,61.71,477,/executive-retreat,weekend_mental_reset
2025-01-07,CMP-7797,Remote Wellness Retreat,Multi-layered empowering database,Facebook,Lead Generation,Startup Founders,Nashik,35-44,Other,Desktop,Image,97459,88851,3128,3.21,26.76,83705.28,107,35,15,0.48,1080000,12.9,31.38,213,/burnout-recovery,remote_wellness_retreat
2025-07-31,CMP-3881,Nature Reset Experience,Multi-channeled bottom-line forecast,Facebook,Engagement,Millennial Travelers,Vizag,25-34,Male,Desktop,Story Ad,52736,46573,495,0.94,16.52,8177.4,7,5,0,0.0,0,0.0,75.15,181,/executive-detox-guide,nature_reset_experience
2025-06-09,CMP-3200,Nature Reset Experience,Profit-focused radical structure,Facebook,Website Visits,Millennial Travelers,Vadodara,18-24,Other,Mobile,Image,53651,44220,686,1.28,31.78,21801.08,14,4,1,0.15,72000,3.3,66.09,186,/book-now,nature_reset_experience
2025-06-25,CMP-5934,Silent Productivity Camp,Organized 24/7 project,LinkedIn,Website Visits,Tech Employees,Bhubaneswar,25-34,Other,Desktop,Carousel,165127,139850,2299,1.39,30.12,69245.88,57,11,4,0.17,480000,6.93,34.43,295,/executive-retreat,silent_productivity_camp
2025-06-13,CMP-8483,Executive Burnout Recovery,Proactive multimedia workforce,LinkedIn,Lead Generation,Corporate Managers,Goa,45-54,Male,Tablet,Story Ad,44338,26066,1020,2.3,100.22,102224.4,88,66,10,0.98,950000,9.29,46.3,394,/executive-retreat,executive_burnout_recovery
2025-03-10,CMP-6412,Focus & Productivity Retreat,Expanded dedicated monitoring,LinkedIn,Lead Generation,C-Suite Leaders,Goa,25-34,Female,Desktop,Lead Form,8335,7217,167,2.0,47.23,7887.41,24,5,1,0.6,85000,10.78,65.23,491,/mental-reset-retreat,focus_&_productivity_retreat
2025-08-01,CMP-5051,Remote Wellness Retreat,Organized dedicated success,Facebook,Lead Generation,Startup Founders,Nashik,35-44,Female,Mobile,Carousel,134951,76662,3612,2.68,18.94,68411.28,158,62,20,0.55,2400000,35.08,67.49,679,/luxury-cabins,remote_wellness_retreat
2025-01-08,CMP-4187,Luxury Nature Escape,Optimized zero tolerance Graphical User Interface,Facebook,Traffic,Business Owners,Pune,45-54,Male,Mobile,Image,108004,92326,1153,1.07,49.93,57569.29,103,22,5,0.43,475000,8.25,59.65,507,/luxury-cabins,luxury_nature_escape
2025-01-21,CMP-9873,Weekend Mental Reset,Cloned disintermediate forecast,Instagram,Engagement,Working Professionals,Lucknow,25-34,Other,Mobile,Video,98456,87652,1198,1.22,22.35,26775.3,78,24,3,0.25,360000,13.45,62.66,645,/book-now,weekend_mental_reset
2025-04-16,CMP-3233,Weekend Mental Reset,Automated intermediate benchmark,Instagram,Engagement,Working Professionals,Goa,35-44,Male,Desktop,Lead Form,124072,91992,2224,1.79,20.02,44524.48,31,16,5,0.22,325000,7.3,59.26,415,/weekend-reset,weekend_mental_reset
2025-03-18,CMP-8817,Mindful Weekend Escape,Optional grid-enabled flexibility,Instagram,Website Visits,Corporate Executives,Chandigarh,35-44,Male,Tablet,Video,176320,109166,2877,1.63,62.54,179927.58,582,64,27,0.94,1944000,10.8,36.66,903,/mental-reset-retreat,mindful_weekend_escape
2025-01-20,CMP-6733,Silent Productivity Camp,Multi-tiered web-enabled Local Area Network,LinkedIn,Engagement,Tech Employees,Noida,45-54,Female,Desktop,Image,112957,96098,2427,2.15,21.05,51088.35,155,20,6,0.25,510000,9.98,46.9,917,/weekend-reset,silent_productivity_camp
2025-04-26,CMP-7216,Luxury Digital Detox,Stand-alone heuristic utilization,Facebook,Website Visits,High Income Professionals,Kochi,45-54,Male,Desktop,Lead Form,36956,21358,788,2.13,103.11,81250.68,89,23,3,0.38,255000,3.14,60.43,587,/luxury-cabins,luxury_digital_detox
2025-07-19,CMP-3393,Silent Productivity Camp,Virtual heuristic complexity,LinkedIn,Traffic,Tech Employees,Bhubaneswar,45-54,Male,Tablet,Carousel,171699,104857,3297,1.92,23.86,78666.42,43,31,6,0.18,510000,6.48,70.63,277,/book-now,silent_productivity_camp
2025-02-22,CMP-9287,Nature Reset Experience,Devolved well-modulated time-frame,Facebook,Conversions,Millennial Travelers,Mysuru,18-24,Male,Desktop,Video,176796,144046,1565,0.89,12.05,18858.25,84,22,6,0.38,432000,22.91,60.53,381,/book-now,nature_reset_experience
2025-03-16,CMP-8504,Mindful Weekend Escape,Team-oriented mission-critical methodology,Instagram,Engagement,Corporate Executives,Mangalore,35-44,Other,Mobile,Video,17614,10841,185,1.05,32.15,5947.75,9,2,0,0.0,0,0.0,61.93,157,/luxury-cabins,mindful_weekend_escape
2025-01-15,CMP-3289,Luxury Digital Detox,Compatible hybrid open system,Facebook,Engagement,High Income Professionals,Bengaluru,45-54,Female,Mobile,Story Ad,38836,25345,490,1.26,84.35,41331.5,40,8,3,0.61,195000,4.72,93.5,295,/weekend-reset,luxury_digital_detox
2025-05-22,CMP-1013,Nature Reset Experience,Cross-platform stable open system,Facebook,Website Visits,Millennial Travelers,Goa,45-54,Other,Tablet,Video,169275,114606,6094,3.6,18.6,113348.4,699,154,34,0.56,2448000,21.6,46.64,868,/executive-detox-guide,nature_reset_experience
2025-01-04,CMP-4854,Luxury Digital Detox,Balanced discrete system engine,Facebook,Conversions,High Income Professionals,Nagpur,45-54,Other,Desktop,Image,104024,85924,30,0.03,36.76,1102.8,30,30,27,90.0,1944000,1762.79,58.42,495,/mental-reset-retreat,luxury_digital_detox
2025-04-19,CMP-3472,Luxury Digital Detox,Visionary user-facing workforce,Facebook,Website Visits,High Income Professionals,Noida,25-34,Male,Desktop,Carousel,39090,24026,1007,2.58,37.43,37692.01,46,19,9,0.89,855000,22.68,59.47,575,/executive-retreat,luxury_digital_detox
2025-08-15,CMP-2523,Mindful Weekend Escape,Robust fresh-thinking protocol,Instagram,Website Visits,Corporate Executives,Hyderabad,18-24,Female,Desktop,Carousel,144646,89731,2102,1.45,69.17,145395.34,628,78,25,1.19,3000000,20.63,63.37,401,/executive-detox-guide,mindful_weekend_escape
2025-03-22,CMP-7369,Executive Burnout Recovery,Networked multi-tasking project,LinkedIn,Conversions,Corporate Managers,Vizag,35-44,Male,Tablet,Video,31492,27747,548,1.74,93.88,51446.24,70,24,8,1.46,576000,11.2,44.63,424,/executive-retreat,executive_burnout_recovery
2025-02-25,CMP-9749,Luxury Nature Escape,Inverse homogeneous functionalities,Facebook,Lead Generation,Business Owners,Jaipur,35-44,Male,Desktop,Lead Form,22232,12617,4,0.02,60.32,241.28,0,0,0,0.0,0,0.0,58.65,658,/mental-reset-retreat,luxury_nature_escape
2025-06-03,CMP-1438,Focus & Productivity Retreat,Down-sized 5thgeneration infrastructure,LinkedIn,Website Visits,C-Suite Leaders,Trivandrum,25-34,Female,Mobile,Story Ad,39665,30389,439,1.11,77.02,33811.78,74,20,9,2.05,585000,17.3,69.61,229,/executive-retreat,focus_&_productivity_retreat
2025-06-01,CMP-6178,Silent Productivity Camp,Enterprise-wide disintermediate matrix,LinkedIn,Website Visits,Tech Employees,Nagpur,18-24,Other,Tablet,Story Ad,18195,11233,541,2.97,16.72,9045.52,4,1,0,0.0,0,0.0,50.57,635,/executive-detox-guide,silent_productivity_camp
2025-05-11,CMP-7568,Luxury Nature Escape,Stand-alone background policy,Facebook,Engagement,Business Owners,Vizag,18-24,Other,Mobile,Story Ad,15794,14358,210,1.33,92.14,19349.4,40,8,1,0.48,72000,3.72,57.4,27,/book-now,luxury_nature_escape
2025-02-27,CMP-6841,Remote Wellness Retreat,Down-sized multimedia algorithm,Facebook,Engagement,Startup Founders,Mumbai,35-44,Male,Tablet,Image,140492,79218,4014,2.86,14.88,59728.32,147,36,15,0.37,975000,16.32,83.92,317,/executive-retreat,remote_wellness_retreat
2025-01-08,CMP-3687,Mindful Weekend Escape,Fully-configurable multi-tasking throughput,Instagram,Lead Generation,Corporate Executives,Udaipur,45-54,Male,Tablet,Lead Form,104607,75911,219,0.21,69.64,15251.16,0,0,0,0.0,0,0.0,52.22,919,/luxury-cabins,mindful_weekend_escape
2025-02-07,CMP-3365,Executive Burnout Recovery,Re-contextualized stable hub,LinkedIn,Traffic,Corporate Managers,Gurugram,18-24,Other,Tablet,Carousel,57771,51645,17,0.03,101.27,1721.59,17,17,10,58.82,650000,377.56,56.89,319,/luxury-cabins,executive_burnout_recovery
2025-08-13,CMP-7573,Luxury Digital Detox,Cloned content-based leverage,Facebook,Website Visits,High Income Professionals,Lucknow,35-44,Male,Tablet,Lead Form,65435,59461,1229,1.88,65.74,80794.46,230,29,7,0.57,840000,10.4,59.85,546,/executive-detox-guide,luxury_digital_detox
2025-07-19,CMP-9620,Executive Burnout Recovery,Decentralized value-added framework,LinkedIn,Conversions,Corporate Managers,Kochi,25-34,Female,Desktop,Lead Form,16763,14147,156,0.93,37.39,5832.84,22,8,1,0.64,65000,11.14,51.18,582,/weekend-reset,executive_burnout_recovery
2025-06-18,CMP-1621,Luxury Nature Escape,Vision-oriented mission-critical adapter,Facebook,Website Visits,Business Owners,Ahmedabad,25-34,Male,Desktop,Image,80635,55649,984,1.22,81.74,80432.16,95,65,29,2.95,3480000,43.27,78.0,977,/luxury-cabins,luxury_nature_escape
2025-02-15,CMP-6352,Nature Reset Experience,Reactive zero administration service-desk,Facebook,Engagement,Millennial Travelers,Nashik,18-24,Other,Desktop,Carousel,167717,104232,2106,1.26,17.55,36960.3,212,28,14,0.66,910000,24.62,57.2,93,/luxury-cabins,nature_reset_experience
2025-01-05,CMP-2607,Focus & Productivity Retreat,Stand-alone heuristic synergy,LinkedIn,Traffic,C-Suite Leaders,Goa,35-44,Other,Tablet,Lead Form,7711,6551,129,1.67,40.29,5197.41,18,4,2,1.55,130000,25.01,61.57,78,/book-now,focus_&_productivity_retreat
2025-03-15,CMP-6638,Remote Wellness Retreat,Robust scalable framework,Facebook,Lead Generation,Startup Founders,Kolkata,45-54,Male,Desktop,Lead Form,165962,113960,248,0.15,33.15,8221.2,4,3,1,0.4,72000,8.76,23.36,796,/luxury-cabins,remote_wellness_retreat
2025-05-29,CMP-8697,Luxury Digital Detox,Synergized stable project,Facebook,Lead Generation,High Income Professionals,Pune,45-54,Male,Tablet,Carousel,49238,40571,546,1.11,31.87,17401.02,111,9,4,0.73,260000,14.94,43.86,274,/book-now,luxury_digital_detox
2025-02-12,CMP-6457,Luxury Nature Escape,Proactive zero-defect complexity,Facebook,Engagement,Business Owners,Trivandrum,35-44,Female,Mobile,Story Ad,143583,109952,3535,2.46,54.72,193435.2,461,65,10,0.28,720000,3.72,49.36,970,/weekend-reset,luxury_nature_escape
2025-01-13,CMP-1241,Luxury Nature Escape,Inverse intermediate encryption,Facebook,Engagement,Business Owners,Goa,35-44,Female,Tablet,Carousel,107398,90015,1166,1.09,83.18,96987.88,165,47,11,0.94,715000,7.37,54.01,77,/luxury-cabins,luxury_nature_escape
2025-01-30,CMP-7194,Eco Adventure Cabins,Right-sized zero-defect utilization,Instagram,Lead Generation,Gen-Z Eco Travelers,Ahmedabad,35-44,Other,Mobile,Lead Form,104141,87360,3759,3.61,10.47,39356.73,1,0,0,0.0,0,0.0,35.89,865,/book-now,eco_adventure_cabins
2025-03-07,CMP-2006,Nature Reset Experience,De-engineered responsive framework,Facebook,Conversions,Millennial Travelers,Patna,35-44,Female,Desktop,Image,178947,109391,1416,0.79,27.42,38826.72,113,35,12,0.85,864000,22.25,74.78,906,/luxury-cabins,nature_reset_experience
2025-07-31,CMP-3693,Remote Wellness Retreat,Devolved transitional Internet solution,Facebook,Conversions,Startup Founders,Noida,25-34,Female,Desktop,Image,161451,119496,3735,2.31,21.82,81497.7,198,62,9,0.24,855000,10.49,57.2,105,/burnout-recovery,remote_wellness_retreat
2025-07-10,CMP-9981,Weekend Mental Reset,Front-line clear-thinking standardization,Instagram,Engagement,Working Professionals,Nashik,45-54,Male,Mobile,Lead Form,153050,93404,1935,1.26,10.46,20240.1,118,33,7,0.36,504000,24.9,56.99,861,/mental-reset-retreat,weekend_mental_reset
2025-08-15,CMP-6289,Silent Productivity Camp,Networked multi-state algorithm,LinkedIn,Lead Generation,Tech Employees,Goa,45-54,Other,Desktop,Lead Form,175976,151795,1129,0.64,15.7,17725.3,44,25,11,0.97,715000,40.34,62.91,607,/executive-retreat,silent_productivity_camp
2025-08-17,CMP-6160,Nature Reset Experience,Expanded even-keeled throughput,Facebook,Lead Generation,Millennial Travelers,Mysuru,45-54,Male,Tablet,Video,115390,98115,2008,1.74,8.75,17570.0,73,21,6,0.3,510000,29.03,85.78,295,/mental-reset-retreat,nature_reset_experience
2025-02-22,CMP-1845,Focus & Productivity Retreat,Synchronized scalable capability,LinkedIn,Traffic,C-Suite Leaders,Lucknow,25-34,Male,Desktop,Story Ad,120249,107163,2353,1.96,93.1,219064.3,313,121,33,1.4,3135000,14.31,57.31,464,/executive-detox-guide,focus_&_productivity_retreat
2025-05-10,CMP-3064,Nature Reset Experience,Synergistic coherent collaboration,Facebook,Conversions,Millennial Travelers,Bhubaneswar,25-34,Male,Mobile,Lead Form,53758,46569,370,0.69,29.53,10926.1,25,4,2,0.54,190000,17.39,60.37,122,/luxury-cabins,nature_reset_experience
2025-01-25,CMP-4929,Nature Reset Experience,Integrated real-time website,Facebook,Lead Generation,Millennial Travelers,Bengaluru,45-54,Female,Tablet,Story Ad,148269,86920,2764,1.86,14.14,39082.96,208,30,15,0.54,975000,24.95,64.03,133,/executive-detox-guide,nature_reset_experience
2025-06-29,CMP-1681,Remote Wellness Retreat,Compatible 5thgeneration algorithm,Facebook,Website Visits,Startup Founders,Chennai,25-34,Male,Tablet,Image,43616,35148,801,1.84,34.31,27482.31,10,5,2,0.25,170000,6.19,54.35,652,/executive-detox-guide,remote_wellness_retreat
2025-04-22,CMP-9475,Focus & Productivity Retreat,Advanced background model,LinkedIn,Traffic,C-Suite Leaders,Hyderabad,35-44,Male,Desktop,Carousel,67190,46738,1858,2.77,62.38,115902.04,102,67,35,1.88,2275000,19.63,64.35,745,/luxury-cabins,focus_&_productivity_retreat
2025-08-14,CMP-8885,Focus & Productivity Retreat,Programmable needs-based open architecture,LinkedIn,Conversions,C-Suite Leaders,Trivandrum,25-34,Female,Desktop,Story Ad,145691,133678,3777,2.59,71.52,270131.04,902,137,17,0.45,2040000,7.55,42.22,186,/weekend-reset,focus_&_productivity_retreat
2025-05-30,CMP-9167,Eco Adventure Cabins,Intuitive upward-trending database,Instagram,Lead Generation,Gen-Z Eco Travelers,Goa,45-54,Female,Desktop,Video,168760,140222,6204,3.68,6.19,38402.76,8,3,1,0.02,120000,3.12,75.86,237,/book-now,eco_adventure_cabins
2025-04-24,CMP-6319,Nature Reset Experience,Proactive demand-driven moratorium,Facebook,Engagement,Millennial Travelers,Pune,35-44,Female,Tablet,Story Ad,104515,69313,2282,2.18,31.55,71997.1,210,37,12,0.53,1020000,14.17,64.98,888,/executive-retreat,nature_reset_experience
2025-08-20,CMP-9138,Luxury Nature Escape,Balanced upward-trending website,Facebook,Traffic,Business Owners,Noida,35-44,Female,Desktop,Story Ad,13422,11051,77,0.57,70.91,5460.07,6,2,1,1.3,72000,13.19,70.28,120,/executive-detox-guide,luxury_nature_escape
2025-04-29,CMP-2032,Silent Productivity Camp,Organic clear-thinking service-desk,LinkedIn,Traffic,Tech Employees,Chandigarh,25-34,Other,Desktop,Image,117905,97688,3359,2.85,15.85,53240.15,276,56,30,0.89,2850000,53.53,69.3,688,/weekend-reset,silent_productivity_camp
2025-05-21,CMP-7803,Silent Productivity Camp,Automated user-facing success,LinkedIn,Website Visits,Tech Employees,Bengaluru,18-24,Female,Mobile,Image,135494,108581,2461,1.82,24.54,60392.94,114,30,15,0.61,1425000,23.6,72.74,123,/executive-retreat,silent_productivity_camp
2025-08-01,CMP-1266,Eco Adventure Cabins,Total systematic matrices,Instagram,Traffic,Gen-Z Eco Travelers,Kolkata,25-34,Other,Tablet,Lead Form,99876,66598,3793,3.8,7.27,27575.11,20,1,0,0.0,0,0.0,67.92,792,/burnout-recovery,eco_adventure_cabins
2025-06-23,CMP-5193,Focus & Productivity Retreat,Reverse-engineered object-oriented process improvement,LinkedIn,Traffic,C-Suite Leaders,Nashik,18-24,Male,Desktop,Image,72366,39922,808,1.12,98.65,79709.2,68,14,4,0.5,288000,3.61,69.21,657,/luxury-cabins,focus_&_productivity_retreat
2025-05-18,CMP-4293,Silent Productivity Camp,Decentralized asynchronous superstructure,LinkedIn,Engagement,Tech Employees,Nashik,35-44,Male,Desktop,Image,179436,123158,3533,1.97,10.13,35789.29,95,30,6,0.17,570000,15.93,39.51,911,/executive-retreat,silent_productivity_camp
2025-05-12,CMP-6147,Remote Wellness Retreat,Self-enabling 4thgeneration time-frame,Facebook,Website Visits,Startup Founders,Coimbatore,45-54,Male,Desktop,Image,122729,111805,1211,0.99,13.72,16614.92,65,31,12,0.99,1440000,86.67,34.04,661,/book-now,remote_wellness_retreat
2025-06-30,CMP-4778,Remote Wellness Retreat,Intuitive systemic help-desk,Facebook,Lead Generation,Startup Founders,Noida,45-54,Other,Tablet,Lead Form,124690,89179,2924,2.35,13.75,40205.0,59,9,4,0.14,288000,7.16,82.82,73,/burnout-recovery,remote_wellness_retreat
2025-07-06,CMP-1370,Silent Productivity Camp,Progressive optimizing website,LinkedIn,Engagement,Tech Employees,Delhi,25-34,Male,Desktop,Image,128330,91921,1065,0.83,21.34,22727.1,23,8,1,0.09,72000,3.17,50.82,203,/executive-retreat,silent_productivity_camp
2025-07-26,CMP-8959,Mindful Weekend Escape,Proactive executive array,Instagram,Traffic,Corporate Executives,Bhubaneswar,18-24,Female,Mobile,Story Ad,147230,93503,2522,1.71,45.6,115003.2,346,40,22,0.87,2090000,18.17,68.82,141,/executive-detox-guide,mindful_weekend_escape
2025-01-26,CMP-2215,Mindful Weekend Escape,Visionary web-enabled adapter,Instagram,Lead Generation,Corporate Executives,Mangalore,18-24,Male,Desktop,Image,116042,84411,2725,2.35,59.54,162246.5,353,123,61,2.24,5185000,31.96,58.55,526,/luxury-cabins,mindful_weekend_escape
2025-06-26,CMP-1453,Eco Adventure Cabins,Team-oriented system-worthy standardization,Instagram,Website Visits,Gen-Z Eco Travelers,Udaipur,45-54,Male,Tablet,Story Ad,134253,83067,3472,2.59,6.41,22255.52,7,2,1,0.03,72000,3.24,47.83,449,/weekend-reset,eco_adventure_cabins
2025-07-03,CMP-4006,Luxury Digital Detox,Upgradable regional monitoring,Facebook,Engagement,High Income Professionals,Coimbatore,18-24,Female,Desktop,Lead Form,20975,11554,421,2.01,44.85,18881.85,64,17,5,1.19,325000,17.21,66.87,244,/weekend-reset,luxury_digital_detox
2025-07-03,CMP-8404,Executive Burnout Recovery,Reverse-engineered incremental definition,LinkedIn,Engagement,Corporate Managers,Patna,45-54,Male,Mobile,Video,166469,122684,4453,2.67,82.8,368708.4,883,123,35,0.79,2520000,6.83,40.27,81,/burnout-recovery,executive_burnout_recovery
2025-04-14,CMP-7953,Luxury Digital Detox,Object-based full-range hub,Facebook,Conversions,High Income Professionals,Surat,45-54,Male,Desktop,Video,143332,78839,2051,1.43,90.11,184815.61,168,37,19,0.93,1368000,7.4,47.94,911,/burnout-recovery,luxury_digital_detox
2025-03-14,CMP-1334,Mindful Weekend Escape,Synergistic tangible monitoring,Instagram,Traffic,Corporate Executives,Delhi,35-44,Male,Tablet,Lead Form,6401,5293,162,2.53,62.39,10107.18,25,3,0,0.0,0,0.0,61.02,748,/mental-reset-retreat,mindful_weekend_escape
2025-05-09,CMP-5514,Luxury Nature Escape,Profound scalable capacity,Facebook,Lead Generation,Business Owners,Coimbatore,35-44,Male,Tablet,Carousel,59951,46081,788,1.31,89.21,70297.48,141,17,8,1.02,960000,13.66,67.45,473,/executive-retreat,luxury_nature_escape
2025-06-22,CMP-8286,Silent Productivity Camp,Visionary national help-desk,LinkedIn,Website Visits,Tech Employees,Kochi,18-24,Other,Desktop,Carousel,152326,134133,1164,0.76,34.5,40158.0,76,16,7,0.6,595000,14.82,60.2,594,/luxury-cabins,silent_productivity_camp
2025-02-08,CMP-7070,Remote Wellness Retreat,Operative composite help-desk,Facebook,Traffic,Startup Founders,Pune,18-24,Female,Tablet,Carousel,91749,81480,2320,2.53,11.0,25520.0,102,33,11,0.47,1045000,40.95,43.76,81,/weekend-reset,remote_wellness_retreat
2025-02-04,CMP-2494,Eco Adventure Cabins,Expanded clear-thinking framework,Instagram,Traffic,Gen-Z Eco Travelers,Hyderabad,18-24,Female,Mobile,Lead Form,14171,12352,551,3.89,6.1,3361.1,1,0,0,0.0,0,0.0,64.92,77,/weekend-reset,eco_adventure_cabins
2025-08-20,CMP-8632,Mindful Weekend Escape,Enterprise-wide tangible neural-net,Instagram,Engagement,Corporate Executives,Indore,25-34,Male,Mobile,Image,111641,75843,2677,2.4,46.65,124882.05,339,207,112,4.18,10640000,85.2,78.71,567,/mental-reset-retreat,mindful_weekend_escape
2025-08-05,CMP-9129,Silent Productivity Camp,Customer-focused user-facing hub,LinkedIn,Conversions,Tech Employees,Noida,45-54,Other,Desktop,Image,175794,103202,4425,2.52,21.96,97173.0,325,108,18,0.41,1170000,12.04,41.14,710,/luxury-cabins,silent_productivity_camp
2025-06-16,CMP-4046,Focus & Productivity Retreat,Versatile object-oriented Internet solution,LinkedIn,Traffic,C-Suite Leaders,Delhi,35-44,Female,Tablet,Image,4061,2819,32,0.79,40.95,1310.4,5,0,0,0.0,0,0.0,53.32,931,/burnout-recovery,focus_&_productivity_retreat
2025-01-04,CMP-7808,Mindful Weekend Escape,Virtual methodical throughput,Instagram,Conversions,Corporate Executives,Vizag,35-44,Female,Desktop,Carousel,166154,145738,3580,2.15,108.65,388967.0,690,211,38,1.06,4560000,11.72,61.68,343,/weekend-reset,mindful_weekend_escape
2025-04-21,CMP-6733,Remote Wellness Retreat,Switchable actuating workforce,Facebook,Conversions,Startup Founders,Nashik,25-34,Other,Tablet,Image,9280,7953,107,1.15,12.35,1321.45,10,1,0,0.0,0,0.0,75.89,31,/executive-retreat,remote_wellness_retreat
